Q20,Q30,EHFB,HFBROT
18400.0,18000.0,-1747.234992,-1752.056706
18400.0,24000.0,-1750.983891,-1755.764828
18400.0,30000.0,-1751.011218,-1755.78206
18400.0,36000.0,-1747.274415,-1752.22835
18400.0,42000.0,-1743.639832,-1748.722387
18400.0,48000.0,-1737.424084,-1742.646091
18400.0,54000.0,-1732.795829,-1738.177436
18400.0,60000.0,-1729.031537,-1734.516309
19200.0,0.0,-1746.909599,-1751.782638
19200.0,6000.0,-1746.325259,-1751.200743
19200.0,12000.0,-1745.412393,-1750.290958
19200.0,18000.0,-1746.613364,-1751.458133
19200.0,24000.0,-1750.349775,-1755.153574
19200.0,30000.0,-1751.9218,-1756.697174
19200.0,36000.0,-1748.156627,-1753.084786
19200.0,42000.0,-1745.416694,-1750.461126
19200.0,48000.0,-1740.731693,-1745.885962
19200.0,54000.0,-1735.235238,-1740.558651
19200.0,60000.0,-1731.303857,-1736.747592
20000.0,0.0,-1747.638191,-1752.538042
20000.0,6000.0,-1746.897606,-1751.812014
20000.0,12000.0,-1745.279419,-1750.200275
20000.0,18000.0,-1746.02653,-1750.887352
20000.0,24000.0,-1749.571699,-1754.399972
20000.0,30000.0,-1752.08655,-1756.898822
20000.0,36000.0,-1749.357215,-1754.26034
20000.0,42000.0,-1746.530762,-1751.539022
20000.0,48000.0,-1743.106277,-1748.231466
20000.0,54000.0,-1737.408264,-1742.642179
20000.0,60000.0,-1733.829491,-1739.220178
20800.0,0.0,-1748.326678,-1753.247222
20800.0,6000.0,-1747.441961,-1752.387014
20800.0,12000.0,-1745.246829,-1750.22505
20800.0,18000.0,-1745.489526,-1750.368346
20800.0,24000.0,-1748.721644,-1753.578018
20800.0,30000.0,-1751.763256,-1756.612839
20800.0,36000.0,-1750.841575,-1755.715559
20800.0,42000.0,-1747.201174,-1752.188975
20800.0,48000.0,-1744.62877,-1749.726138
20800.0,54000.0,-1740.392807,-1745.580658
20800.0,60000.0,-1736.111317,-1741.475961
21600.0,0.0,-1749.004194,-1753.946657
21600.0,6000.0,-1748.066769,-1753.04016
21600.0,12000.0,-1745.721389,-1750.738847
21600.0,18000.0,-1745.039708,-1749.929354
