     Z      N         Q20         Q30         B         ZPE           M22           M23           M33
     92    140       72.00        0.00    -1750.7225        1.3678        0.0887        0.0000        0.0655
     92    140       72.00        3.00    -1749.2557        1.4627        0.0784       -0.0215        0.0705
     92    140       72.00        6.00    -1745.2621        1.6072        0.0701       -0.0346        0.0928
     92    140       72.00        9.00    -1741.0561        1.2874        0.0892       -0.0397        0.1146
     92    140       72.00       12.00    -1736.3702        1.2684        0.0651       -0.0492        0.1250
     92    140       72.00       15.00    -1728.2462        2.0358        0.0652       -0.0907        0.1449
     92    140       72.00       18.00    -1726.3335        1.8370        0.1017       -0.0631        0.0659
     92    140       72.00       21.00    -1722.6752        1.3998        0.0569       -0.0395        0.1024
     92    140       72.00       24.00    -1729.6645        0.9425        0.0733       -0.0818        0.1748
     92    140       72.00       27.00    -1721.6548        0.8953        0.0534        0.0422       -0.0345
     92    140       72.00       30.00    -1722.8435        0.9233        0.2689       -0.4144        0.6558
     92    140       72.00       33.00    -1723.0769        1.2330        0.2003       -0.3217        0.5271
     92    140       72.00       36.00    -1724.4121        1.7284        0.4338       -0.6947        1.1220
     92    140       72.00       39.00    -1724.1836        0.5774        0.3902       -0.6208        1.0030
     92    140       72.00       42.00    -1726.7672        2.6449        0.0677       -0.0520        0.1494
     92    140       72.00       45.00    -1727.4093        2.9597        0.0945       -0.0740        0.1421
     92    140       72.00       48.00    -1727.3764        2.9283        0.1427       -0.1509        0.1652
     92    140       72.00       51.00    -1725.9113        0.6907        0.1794       -0.2444        0.4233
     92    140       72.00       54.00    -1723.2865        2.6517        0.2673       -0.2724        0.2854
     92    140       72.00       57.00    -1722.2235        3.0875        0.2618       -0.3900        0.6213
     92    140       72.00       60.00    -1719.7332        0.7424        0.2557       -0.3880        0.6155
     92    140       80.00        0.00    -1750.9807        1.7317        0.0694       -0.0000        0.0420
     92    140       80.00        3.00    -1749.9423        1.7547        0.0697       -0.0176        0.0501
     92    140       80.00        6.00    -1746.8430        1.6993        0.0619       -0.0306        0.0631
     92    140       80.00        9.00    -1742.4636        1.4117        0.0427       -0.0260        0.0870
     92    140       80.00       12.00    -1737.8767        1.2797        0.0739       -0.0507        0.1054
     92    140       80.00       15.00    -1733.2232        1.4187        0.0774       -0.0662        0.1027
     92    140       80.00       18.00    -1727.8461        1.4326        0.1199       -0.0531        0.0558
     92    140       80.00       21.00    -1723.8744        0.7124        0.1017       -0.1462        0.2287
     92    140       80.00       24.00    -1725.8835        0.9284        0.0707       -0.0980        0.2194
     92    140       80.00       27.00    -1721.8595        1.0780        0.0500       -0.0035        0.0314
     92    140       80.00       30.00    -1722.8407        1.0894        0.1603       -0.2315        0.3662
     92    140       80.00       33.00    -1728.4846        1.8653        0.1492       -0.1637        0.1957
     92    140       80.00       36.00    -1729.1487        2.1145        0.0965       -0.1108        0.1406
     92    140       80.00       39.00    -1728.8272        1.8316        0.0841       -0.0976        0.1257
     92    140       80.00       42.00    -1728.1098        1.7792        0.0928       -0.1031        0.1269
     92    140       80.00       45.00    -1728.0090        2.0614        0.0706       -0.0750        0.1660
     92    140       80.00       48.00    -1728.5452        2.7819        0.0536       -0.0654        0.1271
     92    140       80.00       51.00    -1729.0887        3.1157        0.0770       -0.1005        0.1793
     92    140       80.00       54.00    -1728.8163        3.0597        0.1012       -0.1284        0.2279
     92    140       80.00       57.00    -1727.2050        3.0031        0.1687       -0.2096        0.3632
     92    140       80.00       60.00    -1723.8071        2.3043        0.2129       -0.2967        0.4814
     92    140       88.00        0.00    -1749.9241        1.8121        0.0587        0.0000        0.0348
     92    140       88.00        3.00    -1749.5078        1.7121        0.0598       -0.0124        0.0414
     92    140       88.00        6.00    -1747.6156        1.6161        0.0582       -0.0224        0.0508
     92    140       88.00        9.00    -1743.8703        1.4428        0.0512       -0.0241        0.0573
     92    140       88.00       12.00    -1739.6737        1.3805        0.0438       -0.0225        0.0693
     92    140       88.00       15.00    -1734.9301        1.2899        0.0477       -0.0389        0.0822
     92    140       88.00       18.00    -1729.8704        2.0695        0.1543       -0.0633        0.0459
     92    140       88.00       21.00    -1726.6996        0.8195        0.1112       -0.1457        0.2343
     92    140       88.00       24.00    -1721.8218        1.1680        0.0692       -0.0397        0.0776
     92    140       88.00       27.00    -1721.2048        1.2360        0.0577       -0.0667        0.1265
     92    140       88.00       30.00    -1721.4038        1.2542        0.0674       -0.0759        0.1224
     92    140       88.00       33.00    -1726.1278        1.8778        0.1539       -0.1553        0.1696
     92    140       88.00       36.00    -1728.8337        1.7917        0.1801       -0.1861        0.2058
     92    140       88.00       39.00    -1730.5559        1.9498        0.1622       -0.1698        0.1901
     92    140       88.00       42.00    -1731.2333        2.2755        0.1094       -0.1179        0.1373
     92    140       88.00       45.00    -1730.9885        2.0341        0.0840       -0.0930        0.1122
     92    140       88.00       48.00    -1728.4228        0.9549        0.0578       -0.0888        0.1575
     92    140       88.00       51.00    -1729.6598        2.1463        0.0632       -0.0823        0.1480
     92    140       88.00       54.00    -1730.0615        2.8710        0.0524       -0.0688        0.1202
     92    140       88.00       57.00    -1730.4486        3.2270        0.0821       -0.1135        0.1862
     92    140       88.00       60.00    -1730.0574        3.1600        0.1787       -0.2570        0.4007
     92    140       96.00        0.00    -1749.0261        1.5837        0.0697       -0.0000        0.0340
     92    140       96.00        3.00    -1749.1747        1.5242        0.0720       -0.0070        0.0362
     92    140       96.00        6.00    -1748.6813        1.4299        0.0754       -0.0171        0.0421
     92    140       96.00        9.00    -1745.9833        1.4090        0.0702       -0.0274        0.0483
     92    140       96.00       12.00    -1741.7645        1.4850        0.0539       -0.0245        0.0489
