   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   22.00    1.00   47.00   -1798.399       4.903    0.006477    0.010862    0.000211   -0.000042   -0.000370    0.000044       1.628       1.634
   22.00    1.00   48.00   -1798.221       4.912    0.006409    0.010731    0.000207   -0.000031   -0.000357    0.000041       1.640       1.645
   22.00    1.00   49.00   -1798.040       4.921    0.006344    0.010604    0.000204   -0.000022   -0.000345    0.000038       1.652       1.656
   22.00    1.00   50.00   -1797.855       4.930    0.006281    0.010482    0.000201   -0.000015   -0.000333    0.000037       1.664       1.667
   22.00    1.00   51.00   -1797.668       4.939    0.006220    0.010365    0.000200   -0.000011   -0.000323    0.000038       1.676       1.678
   22.00    1.00   52.00   -1797.477       4.948    0.006159    0.010253    0.000199   -0.000012   -0.000313    0.000042       1.688       1.689
   22.00    1.00   53.00   -1797.283       4.957    0.006099    0.010147    0.000199   -0.000018   -0.000304    0.000048       1.700       1.699
   22.00    2.00    0.00   -1802.414       4.376    0.014182    0.022454    0.000460   -0.001840   -0.001569    0.000067       1.006       1.046
   22.00    2.00    1.00   -1802.409       4.438    0.013881    0.022308    0.000449   -0.001783   -0.001540    0.000151       1.020       1.060
   22.00    2.00    2.00   -1802.402       4.448    0.013615    0.021913    0.000446   -0.001681   -0.001514    0.000102       1.034       1.073
   22.00    2.00    3.00   -1802.395       4.458    0.013292    0.021463    0.000436   -0.001571   -0.001470    0.000091       1.048       1.087
   22.00    2.00    4.00   -1802.380       4.468    0.013013    0.021043    0.000415   -0.001473   -0.001418    0.000090       1.062       1.100
   22.00    2.00    5.00   -1802.361       4.477    0.012684    0.020638    0.000406   -0.001380   -0.001371    0.000089       1.076       1.113
   22.00    2.00    6.00   -1802.340       4.487    0.012429    0.020250    0.000403   -0.001311   -0.001348    0.000094       1.090       1.126
   22.00    2.00    7.00   -1802.317       4.498    0.012082    0.019864    0.000394   -0.001229   -0.001299    0.000093       1.104       1.139
