 #  Z     N         Q_20        Q_30       BE_LN
    92   158      184.00       18.00    -1801.2320
    92   158      184.00       21.00    -1800.6080
    92   158      184.00       24.00    -1797.4910
    92   158      184.00       27.00    -1793.7310
    92   158      184.00       30.00    -1789.9810
    92   158      184.00       33.00    -1785.5310
    92   158      184.00       36.00    -1780.2590
    92   158      184.00       39.00    -1774.4220
    92   158      184.00       42.00    -1769.4220
    92   158      184.00       45.00    -1769.0320
    92   158      184.00       48.00    -1767.6220
    92   158      184.00       51.00    -1765.0000
    92   158      184.00       54.00    -1760.9800
    92   158      184.00       57.00    -1756.5670
    92   158      184.00       60.00    -1765.3965
    92   158      192.00        0.00    -1793.6110
    92   158      192.00        3.00    -1794.3170
    92   158      192.00        6.00    -1795.3800
    92   158      192.00        9.00    -1795.8990
    92   158      192.00       12.00    -1796.2990
    92   158      192.00       15.00    -1799.4750
    92   158      192.00       18.00    -1801.5170
    92   158      192.00       21.00    -1801.7810
    92   158      192.00       24.00    -1799.6430
    92   158      192.00       27.00    -1795.4110
    92   158      192.00       30.00    -1792.1060
    92   158      192.00       33.00    -1788.3580
    92   158      192.00       36.00    -1783.3780
    92   158      192.00       39.00    -1777.7100
    92   158      192.00       42.00    -1772.4190
    92   158      192.00       45.00    -1770.5870
    92   158      192.00       48.00    -1768.4500
    92   158      192.00       51.00    -1766.1770
    92   158      192.00       54.00    -1762.4590
    92   158      192.00       57.00    -1766.2810
    92   158      192.00       60.00    -1766.8040
    92   158      200.00        0.00    -1794.5050
    92   158      200.00        3.00    -1794.8060
    92   158      200.00        6.00    -1795.7280
    92   158      200.00        9.00    -1796.5320
    92   158      200.00       12.00    -1795.8080
    92   158      200.00       15.00    -1799.1370
    92   158      200.00       18.00    -1801.6030
    92   158      200.00       21.00    -1802.3570
    92   158      200.00       24.00    -1801.4240
    92   158      200.00       27.00    -1797.3800
    92   158      200.00       30.00    -1794.3680
    92   158      200.00       33.00    -1791.1550
    92   158      200.00       36.00    -1787.0940
    92   158      200.00       39.00    -1781.8460
    92   158      200.00       42.00    -1774.8960
    92   158      200.00       45.00    -1772.8660
    92   158      200.00       48.00    -1770.1544
    92   158      200.00       51.00    -1768.1960
    92   158      200.00       54.00    -1765.5610
    92   158      200.00       57.00    -1761.4480
    92   158      200.00       60.00    -1769.3070
    92   158      208.00        0.00    -1795.6700
    92   158      208.00        3.00    -1795.6160
    92   158      208.00        6.00    -1795.9780
    92   158      208.00        9.00    -1796.5970
    92   158      208.00       12.00    -1795.3130
    92   158      208.00       15.00    -1798.6040
    92   158      208.00       18.00    -1801.5680
    92   158      208.00       21.00    -1802.6670
    92   158      208.00       24.00    -1802.4500
    92   158      208.00       27.00    -1799.6430
    92   158      208.00       30.00    -1796.0680
    92   158      208.00       33.00    -1793.1780
    92   158      208.00       36.00    -1789.6390
    92   158      208.00       39.00    -1784.8320
    92   158      208.00       42.00    -1778.9880
    92   158      208.00       45.00    -1774.6300
    92   158      208.00       48.00    -1772.3350
    92   158      208.00       51.00    -1769.5080
    92   158      208.00       54.00    -1766.7650
    92   158      208.00       57.00    -1773.7870
    92   158      208.00       60.00    -1772.5810
    92   158      216.00        0.00    -1796.4640
    92   158      216.00        3.00    -1796.3380
    92   158      216.00        6.00    -1796.2180
    92   158      216.00        9.00    -1796.4530
    92   158      216.00       12.00    -1794.5730
    92   158      216.00       15.00    -1798.0160
    92   158      216.00       18.00    -1801.2900
    92   158      216.00       21.00    -1803.0600
    92   158      216.00       24.00    -1803.1250
    92   158      216.00       27.00    -1801.3310
    92   158      216.00       30.00    -1797.2560
    92   158      216.00       33.00    -1794.7580
    92   158      216.00       36.00    -1791.8720
    92   158      216.00       39.00    -1787.5780
    92   158      216.00       42.00    -1777.4320
    92   158      216.00       45.00    -1773.8990
    92   158      216.00       48.00    -1774.1320
    92   158      216.00       51.00    -1771.5370
    92   158      216.00       54.00    -1768.4470
    92   158      216.00       57.00    -1777.6870
    92   158      216.00       60.00    -1775.9630
    92   158      224.00        0.00    -1797.0140
    92   158      224.00        3.00    -1796.8600
    92   158      224.00        6.00    -1796.4950
    92   158      224.00        9.00    -1796.3290
    92   158      224.00       12.00    -1794.2490
    92   158      224.00       15.00    -1797.4700
    92   158      224.00       18.00    -1800.8550
    92   158      224.00       21.00    -1803.2640
    92   158      224.00       24.00    -1803.9730
    92   158      224.00       27.00    -1802.5880
    92   158      224.00       30.00    -1799.5590
    92   158      224.00       33.00    -1796.2030
    92   158      224.00       36.00    -1793.7630
    92   158      224.00       39.00    -1790.6670
    92   158      224.00       42.00    -1780.5250
    92   158      224.00       45.00    -1778.0440
    92   158      224.00       48.00    -1775.9160
    92   158      224.00       51.00    -1773.6850
    92   158      224.00       54.00    -1771.0280
    92   158      224.00       57.00    -1781.5350
    92   158      224.00       60.00    -1779.5830
    92   158      232.00        0.00    -1797.6980
    92   158      232.00        3.00    -1797.5360
    92   158      232.00        6.00    -1796.9290
    92   158      232.00        9.00    -1796.3560
    92   158      232.00       12.00    -1796.1880
    92   158      232.00       15.00    -1796.8980
    92   158      232.00       18.00    -1800.3160
    92   158      232.00       21.00    -1803.0890
    92   158      232.00       24.00    -1804.5790
