 #  Z     N         Q_20        Q_30       BE_LN
    92   158      224.00       51.00    -1826.4750
    92   158      224.00       54.00    -1838.3230
    92   158      224.00       57.00    -1839.5980
    92   158      224.00       60.00    -1839.6350
    92   158      232.00        0.00    -1853.2730
    92   158      232.00        3.00    -1853.4760
    92   158      232.00        6.00    -1853.9790
    92   158      232.00        9.00    -1854.4100
    92   158      232.00       12.00    -1855.8860
    92   158      232.00       15.00    -1859.3220
    92   158      232.00       18.00    -1861.6790
    92   158      232.00       21.00    -1863.2910
    92   158      232.00       24.00    -1862.5980
    92   158      232.00       27.00    -1859.8570
    92   158      232.00       30.00    -1857.0200
    92   158      232.00       33.00    -1853.8100
    92   158      232.00       36.00    -1850.0000
    92   158      232.00       39.00    -1845.7930
    92   158      232.00       42.00    -1838.9270
    92   158      232.00       45.00    -1836.7030
    92   158      232.00       48.00    -1834.2560
    92   158      232.00       51.00    -1832.3020
    92   158      232.00       54.00    -1839.5700
    92   158      232.00       57.00    -1840.8300
    92   158      232.00       60.00    -1841.6840
    92   158      240.00        0.00    -1852.9870
    92   158      240.00        3.00    -1853.1930
    92   158      240.00        6.00    -1853.7870
    92   158      240.00        9.00    -1854.2550
    92   158      240.00       12.00    -1855.4640
    92   158      240.00       15.00    -1858.5250
    92   158      240.00       18.00    -1860.8800
    92   158      240.00       21.00    -1862.7510
    92   158      240.00       24.00    -1862.6660
    92   158      240.00       27.00    -1860.4910
    92   158      240.00       30.00    -1857.8700
    92   158      240.00       33.00    -1855.4150
    92   158      240.00       36.00    -1852.0210
    92   158      240.00       39.00    -1847.7530
    92   158      240.00       42.00    -1840.5740
    92   158      240.00       45.00    -1838.6030
    92   158      240.00       48.00    -1836.0730
    92   158      240.00       51.00    -1839.6360
    92   158      240.00       54.00    -1841.1030
    92   158      240.00       57.00    -1842.3850
    92   158      240.00       60.00    -1843.3450
    92   158      248.00        0.00    -1852.8420
    92   158      248.00        3.00    -1853.0570
    92   158      248.00        6.00    -1853.7220
