#    Z      N      Q20        Q30        BE           E0           M22          M32          M33         
    92    140     80.000      6.000  -1747.56221      1.70169      0.06369     -0.03036      0.06307
    92    140     80.000      9.000  -1743.10127      1.40926      0.04411     -0.02607      0.08942
    92    140     80.000     12.000  -1738.43674      1.28263      0.07797     -0.05016      0.10510
    92    140     80.000     15.000  -1733.72924      1.41181      0.08056     -0.06540      0.10150
    92    140     80.000     18.000  -1729.66385      1.23213      0.06415     -0.04229      0.11020
    92    140     80.000     21.000  -1724.98649      1.19156      0.04817     -0.03803      0.11910
    92    140     80.000     24.000  -1723.48937      1.05520      0.06129     -0.07088      0.15670
    92    140     80.000     27.000  -1722.35400      1.24899      0.07703     -0.07216      0.13820
    92    140     80.000     30.000  -1719.32405      1.63182      0.11380     -0.07472      0.15580
    92    140     80.000     33.000  -1710.85130      1.24285      0.07443     -0.01179      0.08307
    92    140     80.000     36.000  -1699.30060      0.96004      0.08113     -0.08552      0.28280
    92    140     80.000     39.000  -1689.58933      0.89446      0.08032     -0.13930      0.44430
    92    140     80.000     42.000  -1687.74675      0.94171      0.10160     -0.11460      0.36720
    92    140     80.000     45.000  -1687.58326      1.38351      0.24490     -0.42010      1.04700
    92    140     80.000     48.000  -1684.43199      0.66490      0.13180     -0.23980      0.71660
    92    140     80.000     51.000  -1676.86266      0.65259      0.08808     -0.12600      0.43950
    92    140     80.000     54.000  -1670.26929      2.17422      0.12570     -0.15310      0.61210
    92    140     80.000     57.000  -1662.21045      2.07878      0.13620     -0.20720      0.75420
    92    140     80.000     60.000  -1653.91198      2.23856      0.13780     -0.21630      0.76320
    92    140     88.000      0.000  -1750.65324      1.80775      0.05990     -0.00000      0.03490
    92    140     88.000      3.000  -1750.19013      1.70603      0.06106     -0.01236      0.04152
    92    140     88.000      6.000  -1748.24444      1.61742      0.05950     -0.02220      0.05055
    92    140     88.000      9.000  -1744.47468      1.45188      0.05271     -0.02383      0.05699
    92    140     88.000     12.000  -1740.17921      1.37862      0.04512     -0.02229      0.07072
    92    140     88.000     15.000  -1735.38613      1.30323      0.05004     -0.03880      0.08160
    92    140     88.000     18.000  -1730.64660      1.46977      0.07448     -0.06381      0.09196
    92    140     88.000     21.000  -1726.64615      1.26295      0.04836     -0.03738      0.08898
    92    140     88.000     24.000  -1722.90165      1.23460      0.05120     -0.02853      0.10270
    92    140     88.000     27.000  -1720.65891      1.30112      0.05634     -0.05143      0.12710
    92    140     88.000     30.000  -1719.53693      1.33304      0.06463     -0.06056      0.11560
    92    140     88.000     33.000  -1716.36648      1.47242      0.05471     -0.04003      0.09621
    92    140     88.000     36.000  -1707.68610      1.11298      0.05509     -0.03050      0.10380
